locus_tag,gene_name,product,gene_category,annotation_quality,organism_name,annotation_types,expression_edge_count,significant_up_count,significant_down_count,closest_ortholog_group_size,closest_ortholog_genera,cluster_membership_count,cluster_types,numeric_metric_count,boolean_metric_count,categorical_metric_count,gene_summary,function_description,all_identifiers,numeric_metric_types_observed,boolean_metric_types_observed,categorical_metric_types_observed,compartments_observed,derived_metric_count,derived_metric_value_kinds
PMM0032,,putative bacterial type II secretion system protein,Unknown,2,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,27,6,0,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,putative bacterial type II secretion system protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00032 | Q7TUH8 | TX50_RS00175 | WP_011131670.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0033,,"conserved membrane protein, ArbrB family",Unknown,3,Prochlorococcus MED4,go_bp | go_cc | pfam | cog_category | kegg | cyanorak_role | tigr_role,27,2,1,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,"conserved membrane protein, ArbrB family :: Alternative locus ID",Alternative locus ID,CK_Pro_MED4_00033 | Q7V3P1 | TX50_RS00180 | WP_011131671.1,,,,,0,
PMM0035,PSTA,3-phosphoserine transaminase,Amino acid metabolism,3,Prochlorococcus MED4,go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,31,8,1,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,PSTA :: 3-phosphoserine transaminase :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00035 | TX50_RS00190 | WP_036930403.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0037,guaA,"GMP synthase (glutamine-hydrolyzing), N-terminal domain",Nucleotide metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,31,3,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,6,0,0,"guaA :: GMP synthase (glutamine-hydrolyzing), N-terminal domain :: Catalyzes the synthesis of GMP from XMP",Catalyzes the synthesis of GMP from XMP,CK_Pro_MED4_00037 | TX50_RS00200 | WP_011131675.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0045,speA,arginine decarboxylase,Central intermediary metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,28,3,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,speA :: arginine decarboxylase :: Catalyzes the biosynthesis of agmatine from arginine,Catalyzes the biosynthesis of agmatine from arginine,CK_Pro_MED4_00045 | TX50_RS00240 | WP_011131683.1,,,,,0,
PMM0050,argJ,glutamate N-acetyltransferase/amino-acid acetyltransferase,Amino acid metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"argJ :: glutamate N-acetyltransferase/amino-acid acetyltransferase :: Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate","Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate",CK_Pro_MED4_00050 | TX50_RS00265 | WP_412081026.1,,,,,0,
PMM0053,ypsC,putative N6-adenine-specific DNA methylase,Replication and repair,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | ec | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,ypsC :: putative N6-adenine-specific DNA methylase :: Belongs to the methyltransferase superfamily,Belongs to the methyltransferase superfamily,CK_Pro_MED4_00053 | Q7V3M2 | TX50_RS00280 | WP_011131691.1,,,,,0,
PMM0058,,PRC-barrel domain-containing protein,Unknown,2,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,31,3,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,6,0,0,PRC-barrel domain-containing protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00058 | TX50_RS00305 | WP_036930395.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0067,hit,histidine triad (HIT) family protein,Nucleotide metabolism,3,Prochlorococcus MED4,go_mf | pfam | cog_category | kegg | brite | cyanorak_role | tigr_role,25,2,2,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,hit :: histidine triad (HIT) family protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00067 | Q7V3K8 | TX50_RS00355 | WP_011131705.1,,,,,0,
PMM0072,sufC,"ABC transporter involved in Fe-S cluster assembly, ATPase component",Stress response and adaptation,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"sufC :: ABC transporter involved in Fe-S cluster assembly, ATPase component :: cluster assembly ATPase",cluster assembly ATPase,CK_Pro_MED4_00072 | Q7V3K3 | TX50_RS00380 | WP_011131710.1,,,,,0,
PMM0073,sufB,"ABC transporter involved in Fe-S cluster assembly, permease component",Coenzyme metabolism,3,Prochlorococcus MED4,go_bp | pfam | cog_category | kegg | cyanorak_role | tigr_role,31,3,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"sufB :: ABC transporter involved in Fe-S cluster assembly, permease component :: Alternative locus ID",Alternative locus ID,CK_Pro_MED4_00073 | Q7V3K2 | TX50_RS00385 | WP_011131711.1,,,,,0,
PMM0075,,conserved hypothetical protein,Transcription,1,Prochlorococcus MED4,go_bp | pfam | cog_category | kegg | cyanorak_role | tigr_role,39,9,7,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00075 | Q7V3K0 | TX50_RS00395 | WP_011131713.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0084,ktrB,"Ktr-type potassium uptake transporter, potassium-translocating subunit B",Transport,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | cyanorak_role | tigr_role,24,2,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"ktrB :: Ktr-type potassium uptake transporter, potassium-translocating subunit B :: Alternative locus ID",Alternative locus ID,CK_Pro_MED4_00084 | Q7V3J1 | TX50_RS00445 | WP_011131722.1,,,,,0,
PMM0086,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,pfam | cog_category | tigr_role,20,6,0,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00086 | Q7V3I9 | TX50_RS00455 | WP_011131724.1,,,,,0,
PMM0087,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | cyanorak_role | tigr_role,27,8,1,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00087 | Q7V3I8 | TX50_RS00460 | WP_011131725.1,,,,,0,
PMM0088,,conserved hypothetical protein,Unknown,1,Prochlorococcus MED4,cog_category | tigr_role,27,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00088 | Q7V3I7 | TX50_RS00465 | WP_011131726.1,,,,,0,
PMM0089,,"ABC transport system ATP-binding/permease protein, Uup family",Transport,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"ABC transport system ATP-binding/permease protein, Uup family :: Alternative locus ID",Alternative locus ID,CK_Pro_MED4_00089 | Q7V3I6 | TX50_RS00475 | WP_011131727.1,,,,,0,
PMM0099,,uncharacterized membrane protein (DUF3120),Stress response and adaptation,1,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,27,4,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,uncharacterized membrane protein (DUF3120) :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00099 | Q7V3H6 | TX50_RS00525 | WP_011131737.1,,,,,0,
PMM0114,,polyketide cyclase / aromatase,Cellular processes,2,Prochlorococcus MED4,pfam | cog_category | cyanorak_role | tigr_role,28,8,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,polyketide cyclase / aromatase :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00114 | Q7V3G1 | TX50_RS00600 | WP_011131753.1,,,,,0,
PMM0115,crtQ,"9,9^-di-cis-zeta-carotene desaturase",Coenzyme metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,38,7,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,6,0,0,"crtQ :: 9,9^-di-cis-zeta-carotene desaturase :: Catalyzes the conversion of zeta-carotene to lycopene via the intermediary of neurosporene. It carries out two consecutive desaturations (introduction of double bonds) at positions C-7 and C-7^",Catalyzes the conversion of zeta-carotene to lycopene via the intermediary of neurosporene. It carries out two consecutive desaturations (introduction of double bonds) at positions C-7 and C-7^,CK_Pro_MED4_00115 | Q7V3G0 | TX50_RS00605 | WP_011131754.1 | zds,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0119,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,,16,1,0,12.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_00119 | Q7V3F6 | TX50_RS00625 | WP_011131758.1,,,,,0,
PMM0120,sulA,cell division inhibitor,Cell cycle and division,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | cyanorak_role | tigr_role,27,4,0,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,sulA :: cell division inhibitor :: Cell division inhibitor,Cell division inhibitor,CK_Pro_MED4_00120 | Q7V3F5 | TX50_RS00630 | WP_011131759.1,,,,,0,
PMM0122,dnaJ4,DnaJ type III chaperone protein,Post-translational modification,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | cyanorak_role | tigr_role,24,6,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,dnaJ4 :: DnaJ type III chaperone protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00122 | Q7V3F3 | TX50_RS00640 | WP_011131761.1,,,,,0,
PMM0123,cysK,O-acetylserine (thiol)-lyase A,Amino acid metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,31,2,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,cysK :: O-acetylserine (thiol)-lyase A :: Belongs to the cysteine synthase cystathionine beta- synthase family,Belongs to the cysteine synthase cystathionine beta- synthase family,CK_Pro_MED4_00123 | Q7V3F2 | TX50_RS00645 | WP_011131762.1 | cysK2,,,,,0,
PMM0143,crtB,phytoene synthase,Coenzyme metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,27,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,crtB :: phytoene synthase :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00143 | Q7V3D3 | TX50_RS00750 | WP_011131782.1 | pys,,,,,0,
PMM0147,rbcR,possible RuBisCO operon transcriptional regulator,Photosynthesis,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | cyanorak_role | tigr_role,27,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,rbcR :: possible RuBisCO operon transcriptional regulator :: transcriptional regulator,transcriptional regulator,CK_Pro_MED4_00147 | Q7TUH5 | TX50_RS00770 | WP_011131786.1,,,,,0,
PMM0149,ndhF1,NADH dehydrogenase subunit NdhF (chain 5 or L),Carbohydrate metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,27,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"ndhF1 :: NADH dehydrogenase subunit NdhF (chain 5 or L) :: NDH-1 shuttles electrons from NAD(P)H, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","NDH-1 shuttles electrons from NAD(P)H, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",CK_Pro_MED4_00149 | Q7TUH4 | TX50_RS00780 | WP_011131788.1 | ndhF,,,,,0,
PMM0150,ndhD1,NADH dehydrogenase I subunit NdhD (chain 4 or M),Carbohydrate metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,27,6,3,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,"ndhD1 :: NADH dehydrogenase I subunit NdhD (chain 4 or M) :: NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",CK_Pro_MED4_00150 | TX50_RS00785 | WP_011131789.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0151,scpA,scpA/B family protein,Cellular processes,3,Prochlorococcus MED4,pfam | cog_category | kegg | tigr_role,17,1,5,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,scpA :: scpA/B family protein :: Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves,CK_Pro_MED4_00151 | TX50_RS00790 | WP_042115982.1,,,,,0,
PMM0157,ndhE,NADH dehydrogenase subunit NdhE (chain kappa or 4L),Carbohydrate metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,16,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"ndhE :: NADH dehydrogenase subunit NdhE (chain kappa or 4L) :: NDH-1 shuttles electrons from an unknown electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and/or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon-concentration","NDH-1 shuttles electrons from an unknown electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and/or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon-concentration",CK_Pro_MED4_00157 | Q7TUH3 | TX50_RS00820 | WP_011131796.1 | nuoK,,,,,0,
PMM0158,ndhG,NADH dehydrogenase I subunit NdhG (chain 6 or J),Carbohydrate metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"ndhG :: NADH dehydrogenase I subunit NdhG (chain 6 or J) :: NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","NDH-1 shuttles electrons from NADH, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory chain. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",CK_Pro_MED4_00158 | Q7TUH2 | TX50_RS00825 | WP_011131797.1,,,,,0,
PMM0159,ndhI,NADH dehydrogenase I subunit NdhI,Carbohydrate metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,31,3,2,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,6,0,0,"ndhI :: NADH dehydrogenase I subunit NdhI :: electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient","electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient",CK_Pro_MED4_00159 | TX50_RS00830 | WP_011131798.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
