locus_tag,term_id,term_name,level,ontology_type,tree,tree_code
PMM0348,cog.category:S,Function unknown,0,cog_category,,
PMM0348,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0348,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0351,cyanorak.role:R.1,Other > Conserved hypothetical domains,1,cyanorak_role,,
PMM0351,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0359,cog.category:S,Function unknown,0,cog_category,,
PMM0359,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0359,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0360,cog.category:S,Function unknown,0,cog_category,,
PMM0360,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0360,go:0046872,metal ion binding,5,go_mf,,
PMM0360,kegg.orthology:K09705,K09705; uncharacterized protein,3,kegg,,
PMM0360,pfam:PF06172,Cupin superfamily (DUF985),1,pfam,,
PMM0360,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0361,cog.category:H,Coenzyme transport and metabolism,0,cog_category,,
PMM0361,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0361,go:0016301,kinase activity,4,go_mf,,
PMM0361,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0364,cog.category:S,Function unknown,0,cog_category,,
PMM0364,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0364,pfam:PF11746,Domain of unknown function (DUF3303),1,pfam,,
PMM0364,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0368,cog.category:S,Function unknown,0,cog_category,,
PMM0368,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0368,pfam:PF11746,Domain of unknown function (DUF3303),1,pfam,,
PMM0368,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0369,cog.category:J,"Translation, ribosomal structure and biogenesis",0,cog_category,,
PMM0369,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0383,cog.category:S,Function unknown,0,cog_category,,
PMM0383,cyanorak.role:C.4,Cell envelope > Surface structures,1,cyanorak_role,,
PMM0383,go:0006974,DNA damage response,4,go_bp,,
PMM0383,go:0016020,membrane,2,go_cc,,
PMM0383,kegg.orthology:K09797,K09797; uncharacterized protein,3,kegg,,
PMM0383,pfam:PF04402,Protein of unknown function (DUF541),1,pfam,,
PMM0383,tigr.role:91,Cell envelope / Surface structures,0,tigr_role,,
PMM0432,cog.category:S,Function unknown,0,cog_category,,
PMM0432,pfam:PF05258,"Dna[CI] antecedent, DciA",1,pfam,,
PMM0432,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0451,cog.category:S,Function unknown,0,cog_category,,
PMM0451,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0451,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0509,cog.category:S,Function unknown,0,cog_category,,
PMM0509,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0650,cog.category:S,Function unknown,0,cog_category,,
PMM0650,cyanorak.role:R.4,Other > Hypothetical proteins,1,cyanorak_role,,
PMM0650,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0664,cog.category:O,"Post-translational modification, protein turnover, chaperones",0,cog_category,,
PMM0664,pfam:PF11833,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,1,pfam,,
PMM0664,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0667,cog.category:S,Function unknown,0,cog_category,,
PMM0667,pfam:PF12049,Protein of unknown function (DUF3531),1,pfam,,
PMM0667,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0684,cog.category:S,Function unknown,0,cog_category,,
PMM0684,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0684,pfam:PF07864,Protein of unknown function (DUF1651),1,pfam,,
PMM0684,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0685,cog.category:S,Function unknown,0,cog_category,,
PMM0685,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0685,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0687,cog.category:S,Function unknown,0,cog_category,,
PMM0687,cyanorak.role:R.1,Other > Conserved hypothetical domains,1,cyanorak_role,,
PMM0687,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0698,cog.category:S,Function unknown,0,cog_category,,
PMM0698,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0698,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0707,cog.category:S,Function unknown,0,cog_category,,
PMM0707,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0707,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0715,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0715,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0719,cog.category:S,Function unknown,0,cog_category,,
PMM0719,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0719,pfam:PF12594,Protein of unknown function (DUF3764),1,pfam,,
PMM0719,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0726,cog.category:S,Function unknown,0,cog_category,,
PMM0726,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0726,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0731,cog.category:S,Function unknown,0,cog_category,,
PMM0731,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0731,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0737,cog.category:S,Function unknown,0,cog_category,,
PMM0737,tigr.role:856,Not Found,0,tigr_role,,
PMM0739,cog.category:S,Function unknown,0,cog_category,,
PMM0739,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0739,pfam:PF09876,Predicted metal-binding protein (DUF2103),1,pfam,,
PMM0739,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0773,cog.category:S,Function unknown,0,cog_category,,
PMM0773,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0810,cog.category:S,Function unknown,0,cog_category,,
PMM0810,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0810,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0819,cog.category:S,Function unknown,0,cog_category,,
PMM0819,pfam:PF07864,Protein of unknown function (DUF1651),1,pfam,,
PMM0849,cog.category:S,Function unknown,0,cog_category,,
PMM0849,go:0016020,membrane,2,go_cc,,
PMM0849,go:0046873,metal ion transmembrane transporter activity,5,go_mf,,
PMM0849,pfam:PF01169,Divalent cation/proton antiporter GDT1,1,pfam,,
PMM0849,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0858,cog.category:S,Function unknown,0,cog_category,,
PMM0858,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0858,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0904,cog.category:S,Function unknown,0,cog_category,,
PMM0904,pfam:PF10693,Protein of unknown function (DUF2499),1,pfam,,
PMM0904,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0938,cog.category:H,Coenzyme transport and metabolism,0,cog_category,,
PMM0938,go:0008168,methyltransferase activity,4,go_mf,,
PMM0938,go:0032259,methylation,3,go_bp,,
PMM0938,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0958,cog.category:S,Function unknown,0,cog_category,,
PMM0958,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0958,pfam:PF08865,Domain of unknown function (DUF1830),1,pfam,,
PMM0958,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0975,cog.category:S,Function unknown,0,cog_category,,
PMM0975,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0975,pfam:PF11061,"Cytochrome b6f, subunit Tsr0524-like",1,pfam,,
PMM0975,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0984,cog.category:S,Function unknown,0,cog_category,,
PMM0984,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0984,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0991,cog.category:S,Function unknown,0,cog_category,,
PMM0991,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0991,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0996,cog.category:S,Function unknown,0,cog_category,,
PMM0996,cyanorak.role:D.1.5,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Phosphorus,2,cyanorak_role,,
PMM0996,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0996,pfam:PF11746,Domain of unknown function (DUF3303),1,pfam,,
PMM0996,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0998,cog.category:S,Function unknown,0,cog_category,,
PMM0998,go:0015035,protein-disulfide reductase activity,3,go_mf,,
PMM0998,pfam:PF04134,DCC1-like thiol-disulfide oxidoreductase,1,pfam,,
PMM0998,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1013,cog.category:S,Function unknown,0,cog_category,,
PMM1013,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1013,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1024,cog.category:S,Function unknown,0,cog_category,,
PMM1037,cog.category:S,Function unknown,0,cog_category,,
PMM1037,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1043,cog.category:S,Function unknown,0,cog_category,,
PMM1043,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1043,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1045,cog.category:S,Function unknown,0,cog_category,,
PMM1045,pfam:PF11196,Protein of unknown function DUF2834,1,pfam,,
PMM1045,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1050,cog.category:S,Function unknown,0,cog_category,,
PMM1050,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1050,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1078,cog.category:S,Function unknown,0,cog_category,,
PMM1078,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1078,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1134,cog.category:S,Function unknown,0,cog_category,,
PMM1134,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1134,pfam:PF07864,Protein of unknown function (DUF1651),1,pfam,,
PMM1134,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1238,cog.category:S,Function unknown,0,cog_category,,
PMM1238,pfam:PF03881,Fructosamine kinase,1,pfam,,
PMM1238,tigr.role:856,Not Found,0,tigr_role,,
PMM1283,cog.category:S,Function unknown,0,cog_category,,
PMM1283,cyanorak.role:D.1.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Iron,2,cyanorak_role,,
PMM1283,cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,cyanorak_role,,
PMM1283,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1283,go:0005886,plasma membrane,3,go_cc,,
PMM1283,kegg.orthology:K06890,K06890; uncharacterized protein,3,kegg,,
PMM1283,pfam:PF01027,Inhibitor of apoptosis-promoting Bax1,1,pfam,,
PMM1283,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1307,cog.category:S,Function unknown,0,cog_category,,
PMM1307,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1312,cog.category:S,Function unknown,0,cog_category,,
PMM1312,cyanorak.role:R.1,Other > Conserved hypothetical domains,1,cyanorak_role,,
PMM1312,go:0004518,nuclease activity,3,go_mf,,
PMM1312,go:0005575,cellular_component,0,go_cc,,
PMM1312,go:0005618,cell wall,3,go_cc,,
PMM1312,go:0016020,membrane,2,go_cc,,
PMM1312,go:0016787,hydrolase activity,2,go_mf,,
PMM1312,pfam:PF01938,TRAM domain,1,pfam,,
PMM1312,pfam:PF13638,PIN domain,1,pfam,,
PMM1312,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1355,cog.category:S,Function unknown,0,cog_category,,
PMM1355,cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,cyanorak_role,,
PMM1355,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1355,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1362,cog.category:S,Function unknown,0,cog_category,,
PMM1362,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1362,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1363,cog.category:S,Function unknown,0,cog_category,,
PMM1363,pfam:PF12518,Protein of unknown function,1,pfam,,
PMM1387,cog.category:S,Function unknown,0,cog_category,,
PMM1387,pfam:PF10999,Protein of unknown function (DUF2839),1,pfam,,
PMM1418,cog.category:S,Function unknown,0,cog_category,,
PMM1418,kegg.brite:ko02044.A6.B2,Imp/Vas secretion system related proteins,1,brite,secretion,ko02044
PMM1418,kegg.orthology:K11909,vasI; type VI secretion system protein VasI,3,kegg,,
PMM1418,pfam:PF11319,"Type VI secretion system VasI, EvfG, VC_A0118",1,pfam,,
PMM1427,cog.category:S,Function unknown,0,cog_category,,
PMM1427,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1427,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1473,cog.category:S,Function unknown,0,cog_category,,
PMM1473,pfam:PF11341,Protein of unknown function (DUF3143),1,pfam,,
PMM1473,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1479,cog.category:S,Function unknown,0,cog_category,,
PMM1479,pfam:PF11211,Protein of unknown function (DUF2997),1,pfam,,
PMM1479,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1574,cog.category:S,Function unknown,0,cog_category,,
PMM1574,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1574,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1587,cog.category:S,Function unknown,0,cog_category,,
PMM1587,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1587,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1588,cog.category:S,Function unknown,0,cog_category,,
PMM1588,cyanorak.role:D.1.5,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Phosphorus,2,cyanorak_role,,
PMM1588,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1588,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1671,cog.category:S,Function unknown,0,cog_category,,
PMM1671,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1671,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1678,cog.category:S,Function unknown,0,cog_category,,
PMM1678,cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,cyanorak_role,,
PMM1678,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1678,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1804,cog.category:S,Function unknown,0,cog_category,,
PMM1804,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1813,cog.category:S,Function unknown,0,cog_category,,
PMM1813,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1813,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1828,cog.category:S,Function unknown,0,cog_category,,
PMM1860,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1860,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1870,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1870,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1872,cog.category:S,Function unknown,0,cog_category,,
PMM1872,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1872,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1873,tigr.role:856,Not Found,0,tigr_role,,
PMM1884,cog.category:S,Function unknown,0,cog_category,,
PMM1884,cyanorak.role:R.1,Other > Conserved hypothetical domains,1,cyanorak_role,,
PMM1884,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1885,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1885,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1893,cog.category:S,Function unknown,0,cog_category,,
PMM1897,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1897,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1910,cog.category:S,Function unknown,0,cog_category,,
PMM1915,cog.category:S,Function unknown,0,cog_category,,
PMM1915,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1919,cog.category:S,Function unknown,0,cog_category,,
PMM1919,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1919,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1941,cog.category:S,Function unknown,0,cog_category,,
PMM1941,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1941,pfam:PF10999,Protein of unknown function (DUF2839),1,pfam,,
PMM1941,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1959,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1959,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1966,cog.category:S,Function unknown,0,cog_category,,
PMM1966,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM1983,cog.category:S,Function unknown,0,cog_category,,
PMM1983,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM1983,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM2005,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM2005,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM2013,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM2013,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
