cluster_id,cluster_name,cluster_type,analysis_name,member_count,n_candidates,cluster_functional_description,cluster_expression_dynamics,cluster_temporal_pattern,candidate_share_of_cluster
cluster:journal.pone.0005135:med4_diel_clusters:9,"Prochlorococcus cluster 9 (RNA synthesis, modification, and DNA transcription)",diel,MED4 diel cycling expression clusters,99,6,"Enriched for RNA synthesis, modification, and DNA transcription genes (6/23 genes, p=0.035).",peaks late night,Genes peak in expression near 22.4 hours after onset of dark with 24h periodicity.,0.061
cluster:journal.pone.0005135:med4_diel_clusters:5,Prochlorococcus cluster 5 (respiratory terminal oxidases and protein degradation),diel,MED4 diel cycling expression clusters,120,6,"Enriched for respiratory terminal oxidases (3/3 genes, p=0.019) and degradation of proteins, peptides, and glycopeptides (5/15 genes, p=0.071).",peaks late afternoon,Genes peak in expression near 17.5 hours after onset of dark with 24h periodicity.,0.05
cluster:journal.pone.0005135:med4_diel_clusters:8,Prochlorococcus cluster 8 (chaperones),diel,MED4 diel cycling expression clusters,87,5,"Enriched for chaperone genes (7/14 genes, p=0.00023).",peaks night,Genes peak in expression near 21.0 hours after onset of dark with 24h periodicity.,0.057
cluster:1471-2180-14-11:med4_expression_level:LEG,Prochlorococcus MED4 cluster LEG (lowly expressed),condition_comparison,MED4 gene expression level classification,82,5,N/A,N/A,N/A,0.061
cluster:1471-2180-14-11:med4_expression_level:NEG,Prochlorococcus MED4 cluster NEG (not expressed),condition_comparison,MED4 gene expression level classification,66,4,N/A,N/A,N/A,0.061
cluster:msb4100087:med4_kmeans_nstarvation:2,Prochlorococcus MED4 cluster 2 (16 genes),time_course,MED4 K-means N-starvation clusters,16,4,Contains the rapidly-responding subset of hli genes (including hli10) and ntcA. The most highly upregulated hli genes have the strongest NtcA binding sites.,early transient,"Rapidly and highly upregulated early in nitrogen starvation, representing the fast-responding hli subset distinct from the later-responding hli genes in cluster 3.",0.25
cluster:journal.pone.0005135:med4_diel_clusters:4,Prochlorococcus cluster 4 (cytochrome b6/f),diel,MED4 diel cycling expression clusters,62,4,"Enriched for cytochrome b6/f genes (3/7 genes, p=0.073).",peaks late afternoon,Genes peak in expression near 15.8 hours after onset of dark with 24h periodicity.,0.065
cluster:journal.pone.0005135:med4_diel_clusters:10,Prochlorococcus cluster 10,diel,MED4 diel cycling expression clusters,76,4,N/A,N/A,N/A,0.053
cluster:journal.pone.0005135:med4_diel_clusters:11,Prochlorococcus cluster 11,diel,MED4 diel cycling expression clusters,91,3,N/A,N/A,N/A,0.033
cluster:msb4100087:med4_kmeans_nstarvation:3,Prochlorococcus MED4 cluster 3 (19 genes),time_course,MED4 K-means N-starvation clusters,19,3,Contains a subset of hli genes that respond later and to a lesser degree than cluster 2. Also includes genes involved in regulation.,late transient,Later and less pronounced upregulation during nitrogen starvation compared to cluster 2.,0.158
cluster:journal.pone.0005135:med4_diel_clusters:12,Prochlorococcus cluster 12,diel,MED4 diel cycling expression clusters,111,2,N/A,N/A,N/A,0.018
cluster:journal.pone.0005135:med4_diel_clusters:2,Prochlorococcus cluster 2,diel,MED4 diel cycling expression clusters,52,2,N/A,N/A,N/A,0.038
cluster:msb4100087:med4_kmeans_nstarvation:6,Prochlorococcus MED4 cluster 6 (124 genes),time_course,MED4 K-means N-starvation clusters,124,2,"Enriched for translation-related genes, strongly downregulated during nitrogen starvation, indicating repression of protein synthesis machinery.",late sustained repression,"Strongly downregulated during nitrogen starvation, consistent with reduced translation activity.",0.016
cluster:journal.pone.0005135:med4_diel_clusters:15,Prochlorococcus cluster 15,diel,MED4 diel cycling expression clusters,106,2,N/A,N/A,N/A,0.019
cluster:msb4100087:med4_kmeans_nstarvation:1,Prochlorococcus MED4 cluster 1 (5 genes),time_course,MED4 K-means N-starvation clusters,5,1,Contains nitrogen transport genes such as urtA and cynA. Enriched for transport and binding category.,early transient,"Most rapidly and highly upregulated genes in MED4 during nitrogen starvation, with expression first appearing within 6 hours and peaking early in the time course.",0.2
cluster:journal.pone.0005135:med4_diel_clusters:3,Prochlorococcus cluster 3 (cytochrome b6/f and photosystem II),diel,MED4 diel cycling expression clusters,23,1,"Enriched for cytochrome b6/f (3/7 genes, p=0.0059) and photosystem II genes (8/22 genes, p=3.70E-08).",peaks mid-day,Genes peak in expression near 12.5 hours after onset of dark with 24h periodicity.,0.043
