seed,pool,homolog_organism,homolog_genus,tier,in_cyanorak,identity,coverage,title,meta,doi,pmcid,pmid,year
PMM1135,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,35,94,The two-component response regulator OrrA confers dehydration tolerance by regulating avaKa expression in the cyanobacterium Anabaena sp. strain PCC 7120,"Kimura, Environmental microbiology 2022",,PMC9804601,,2022
PMM1135,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,cyano,True,57,54,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,"Tolonen, Molecular systems biology 2006",,PMC1682016,,2006
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Impact of SliP4 deletion on the high-light acclimation in Synechocystis sp. PCC 6803,"Alvarenga-Lucius, microLife 2026",,PMC12850537,,2026
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Glucose Uncouples Nitrogen Sensing From Chlorosis via a Photosynthetic Checkpoint in Synechocystis sp. PCC 6803,"Ortega-Martínez, Physiologia plantarum 2025",,PMC12638213,,2025
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Thioredoxin A regulates protein synthesis to maintain carbon and nitrogen partitioning in cyanobacteria,"Mallén-Ponce, Plant physiology 2024",,PMC11288746,,2024
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Sll1252 Coordinates Electron Transport between Plastoquinone and Cytochrome b6/f Complex in Synechocystis PCC 6803,"Balaga, Genes 2023",,PMC10743179,,2023
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Regulation of RNase E during the UV stress response in the cyanobacterium Synechocystis sp. PCC 6803,"Watanabe, mLife 2023",,PMC10989929,,2023
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Advances in the Understanding of the Lifecycle of Photosystem II,"Johnson, Microorganisms 2022",,PMC9145668,,2022
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,Universal Molecular Triggers of Stress Responses in Cyanobacterium Synechocystis,"Mironov, Life (Basel, Switzerland) 2019",,PMC6789579,,2019
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,48,77,The Transcriptional Landscape of the Photosynthetic Model Cyanobacterium Synechocystis sp. PCC6803,"Hernández-Prieto, Scientific reports 2016",,PMC4770689,,2016
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,100,100,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,88,49,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,92,78,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,57,62,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,"Steglich, PLoS genetics 2008",,PMC2518516,,2008
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,57,62,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,"Steglich, PLoS genetics 2008",,PMC2518516,,2008
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,57,62,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,53,65,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,"Laurenceau, The ISME journal 2021",,PMC7852597,,2021
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,53,65,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,"Laurenceau, The ISME journal 2021",,PMC7852597,,2021
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,53,65,Deductive biocomputing,"Shrager, PloS one 2007",,PMC1838522,,2007
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,53,65,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,73,59,ProPortal: a resource for integrated systems biology of Prochlorococcus and its phage,"Kelly, Nucleic acids research 2012",,PMC3245167,,2012
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,73,59,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,70,59,The transcriptome landscape of Prochlorococcus MED4 and the factors for stabilizing the core genome,"Wang, BMC microbiology 2014",,PMC3898218,,2014
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,70,59,Ultraviolet stress delays chromosome replication in light/dark synchronized cells of the marine cyanobacterium Prochlorococcus marinus PCC9511,"Kolowrat, BMC microbiology 2010",,PMC2921402,,2010
PMM1404,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,cyano,True,66,57,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,"Tolonen, Molecular systems biology 2006",,PMC1682016,,2006
PMT1742,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,70,99,Cyclophilin anaCyp40 regulates photosystem assembly and phycobilisome association in a cyanobacterium,"Yadav, Nature communications 2022",,PMC8967839,,2022
PMT1742,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,70,99,Calcium impacts carbon and nitrogen balance in the filamentous cyanobacterium Anabaena sp. PCC 7120,"Walter, Journal of experimental botany 2016",,PMC4915528,,2016
PMT1742,pro,Microcystis aeruginosa (strain NIES-843 / IAM M-2473),Microcystis,cyano,False,70,99,Rapid Classification and Identification of Microcystis aeruginosa Strains Using MALDI-TOF MS and Polygenetic Analysis,"Sun, PloS one 2016",,PMC4881969,,2016
PMT1742,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,70,99,Gene expression patterns of sulfur starvation in Synechocystis sp. PCC 6803,"Zhang, BMC genomics 2008",,PMC2491639,,2008
PMT1742,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,70,99,Global gene expression profiles of the cyanobacterium Synechocystis sp. strain PCC 6803 in response to irradiation with UV-B and white light,"Huang, Journal of bacteriology 2002",,PMC135463,,2002
PMT1742,pro,Crocosphaera subtropica ATCC 51142,Crocosphaera,cyano,False,66,99,Analysis of Protein Complexes in the Unicellular Cyanobacterium Cyanothece ATCC 51142,"Aryal, Journal of proteome research 2018",,PMC6400067,,2018
PMT9312_0549,pro,Prochlorococcus marinus (strain MIT 9313),Prochlorococcus,cyano,True,98,100,"Cryo-electron tomography reveals the comparative three-dimensional architecture of Prochlorococcus, a globally important marine cyanobacterium","Ting, Journal of bacteriology 2007",,PMC1913349,,2007
PMT9312_0549,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,99,95,A Cyanophage MarR-Type Transcription Factor Regulates Host RNase E Expression during Infection,"Lambrecht, Microorganisms 2022",,PMC9692554,,2022
PMT9312_0549,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,99,95,Response of Prochlorococcus to varying CO2:O2 ratios,"Bagby, The ISME journal 2015",,PMC4579476,,2015
PMT9312_0549,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,99,95,"Cryo-electron tomography reveals the comparative three-dimensional architecture of Prochlorococcus, a globally important marine cyanobacterium","Ting, Journal of bacteriology 2007",,PMC1913349,,2007
PMT9312_0549,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,cyano,True,92,43,"Cryo-electron tomography reveals the comparative three-dimensional architecture of Prochlorococcus, a globally important marine cyanobacterium","Ting, Journal of bacteriology 2007",,PMC1913349,,2007
PMT9312_0549,pro,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1),Thermosynechococcus,cyano,False,55,85,Engineering functional CO2-fixing modules in E. coli via efficient assembly of cyanobacterial Rubisco and carboxysomes,"Liu, 2024",10.21203/rs.3.rs-4511266/v1,,,2024
PMT9312_0549,pro,Cyanothece sp. ATCC 51142,Cyanothece,cyano,False,55,85,Rhythmic and sustained oscillations in metabolism and gene expression of Cyanothece sp. ATCC 51142 under constant light,"Gaudana, Frontiers in microbiology 2013",,PMC3854555,,2013
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Spontaneous non-canonical assembly of CcmK hexameric components from β-carboxysome shells of cyanobacteria,"Garcia-Alles, PloS one 2017",,PMC5608322,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Impact of SliP4 deletion on the high-light acclimation in Synechocystis sp. PCC 6803,"Alvarenga-Lucius, microLife 2026",,PMC12850537,,2026
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Glucose Uncouples Nitrogen Sensing From Chlorosis via a Photosynthetic Checkpoint in Synechocystis sp. PCC 6803,"Ortega-Martínez, Physiologia plantarum 2025",,PMC12638213,,2025
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Site-2 protease Sll0528 interacts with RbcR to regulate carbon/nitrogen homeostasis in the cyanobacterium <i>Synechocystis</i> sp. PCC 6803,"Lin, Frontiers in microbiology 2025",,PMC12014562,,2025
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,sll1019 and slr1259 encoding glyoxalase II improve tolerance of Synechocystis sp. PCC 6803 to methylglyoxal- and ethanol- induced oxidative stress by glyoxalase pathway,"Ji, Applied and environmental microbiology 2024",,PMC11577758,,2024
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,"Zedler, ACS nano 2023",,PMC10754207,,2023
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Deep Proteogenomics of a Photosynthetic Cyanobacterium,"Spät, Journal of proteome research 2023",,PMC10243305,,2023
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,"Tang, Frontiers in microbiology 2022",,PMC9120777,,2022
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,54,85,Systematic and functional identification of small non-coding RNAs associated with exogenous biofuel stress in cyanobacterium Synechocystis sp. PCC 6803,"Pei, Biotechnology for biofuels 2017",,PMC5341163,,2017
PMT9312_0549,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,54,85,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0549,pro,Synechococcus sp. JA-2-3B'a(2-13),Synechococcus,cyano,False,54,85,Role of polyphosphate in thermophilic Synechococcus sp. from microbial mats,"Gomez-Garcia, Journal of bacteriology 2013",,PMC3719534,,2013
PMT9312_0549,pro,Synechococcus sp. PCC 7002,Synechococcus,cyano,False,54,79,Transcription Profiling of the Model Cyanobacterium Synechococcus sp. Strain PCC 7002 by Next-Gen (SOLiD™) Sequencing of cDNA,"Ludwig, Frontiers in microbiology 2011",,PMC3133671,,2011
PMT9312_0549,pro,Acaryochloris marina MBIC11017,Acaryochloris,cyano,False,53,85,Integration of horizontally acquired light-harvesting genes into an ancestral regulatory network in the cyanobacterium Acaryochloris marina MBIC11017,"Ulrich, mBio 2024",,PMC11633204,,2024
PMT9312_0549,pro,Synechococcus sp. JA-2-3B'a(2-13),Synechococcus,cyano,False,54,78,Role of polyphosphate in thermophilic Synechococcus sp. from microbial mats,"Gomez-Garcia, Journal of bacteriology 2013",,PMC3719534,,2013
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,"Zedler, ACS nano 2023",,PMC10754207,,2023
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,"Elevated carbon dioxide levels lead to proteome-wide alterations for optimal growth of a fast-growing cyanobacterium, Synechococcus elongatus PCC 11801","Mehta, Scientific reports 2019",,PMC6472392,,2019
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Spontaneous non-canonical assembly of CcmK hexameric components from β-carboxysome shells of cyanobacteria,"Garcia-Alles, PloS one 2017",,PMC5608322,,2017
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Elucidating essential role of conserved carboxysomal protein CcmN reveals common feature of bacterial microcompartment assembly,"Kinney, The Journal of biological chemistry 2012",,PMC3366800,,2012
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,"Zedler, ACS nano 2023",,PMC10754207,,2023
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Origin and Evolution of Carboxysome Positioning Systems in Cyanobacteria,"MacCready, Molecular biology and evolution 2020",,PMC7182216,,2020
PMT9312_0549,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,54,85,Blueprint for a minimal photoautotrophic cell: conserved and variable genes in Synechococcus elongatus PCC 7942,"Delaye, BMC genomics 2011",,PMC3025956,,2011
PMT9312_0549,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,54,85,The effects of secondary bacterial metabolites on photosynthesis in microalgae cells,"Koksharova, Biophysical reviews 2022",,PMC9481811,,2022
PMT9312_0549,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,54,85,Proteomic Insights into Starvation of Nitrogen-Replete Cells of Nostoc sp. PCC 7120 under β-N-Methylamino-L-Alanine (BMAA) Treatment,"Koksharova, Toxins 2020",,PMC7354497,,2020
PMT9312_0549,pro,Nostoc sp. PCC 7120,Nostoc,cyano,False,54,85,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,"Rohnke, mSphere 2018",,PMC5784247,,2018
PMT9312_0549,pro,Acaryochloris marina MBIC11017,Acaryochloris,cyano,False,53,77,Integration of horizontally acquired light-harvesting genes into an ancestral regulatory network in the cyanobacterium Acaryochloris marina MBIC11017,"Ulrich, mBio 2024",,PMC11633204,,2024
PMT9312_0549,pro,Anabaena variabilis ATCC 29413,Anabaena,cyano,False,53,77,RcaE-Dependent Regulation of Carboxysome Structural Proteins Has a Central Role in Environmental Determination of Carboxysome Morphology and Abundance in Fremyella diplosiphon,"Rohnke, mSphere 2018",,PMC5784247,,2018
PMT9312_0549,pro,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1),Thermosynechococcus,cyano,False,54,78,A Genetic Toolbox for the New Model Cyanobacterium Cyanothece PCC 7425: A Case Study for the Photosynthetic Production of Limonene,"Chenebault, Frontiers in microbiology 2020",,PMC7530172,,2020
PMT9312_0549,pro,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1),Thermosynechococcus,cyano,False,54,78,Indirect Interspecies Regulation: Transcriptional and Physiological Responses of a Cyanobacterium to Heterotrophic Partnership,"Bernstein, mSystems 2017",,PMC5340862,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Site-2 protease Sll0528 interacts with RbcR to regulate carbon/nitrogen homeostasis in the cyanobacterium <i>Synechocystis</i> sp. PCC 6803,"Lin, Frontiers in microbiology 2025",,PMC12014562,,2025
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Comparative Genomic Analysis Revealed Distinct Molecular Components and Organization of CO2-Concentrating Mechanism in Thermophilic Cyanobacteria,"Tang, Frontiers in microbiology 2022",,PMC9120777,,2022
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Identification of the direct regulon of NtcA during early acclimation to nitrogen starvation in the cyanobacterium Synechocystis sp. PCC 6803,"Giner-Lamia, Nucleic acids research 2017",,PMC5714215,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Exploring Components of the CO2-Concentrating Mechanism in Alkaliphilic Cyanobacteria Through Genome-Based Analysis,"Klanchui, Computational and structural biotechnology journal 2017",,PMC5472144,,2017
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,Insights into isoprene production using the cyanobacterium Synechocystis sp. PCC 6803,"Pade, Biotechnology for biofuels 2016",,PMC4836186,,2016
PMT9312_0549,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,52,79,"Structural determinants of the outer shell of β-carboxysomes in Synechococcus elongatus PCC 7942: roles for CcmK2, K3-K4, CcmO, and CcmL","Rae, PloS one 2012",,PMC3425506,,2012
