pool,sel_rank,rep_locus_tag,rep_organism,rep_gene_name,rep_product,gene_category,annotation_state,freq,best_rank,n_collapsed,ortholog_group_size,n_genera,og_source,og_level,response,conservation,info_gain,score,rep_protein_id,dedup_key
syn,3,BL107_07454,Synechococcus sp. BL107,nusG,transcription termination/antitermination factor NusG,Transcription,informative_multi,4,1.0,2,20.0,2,cyanorak,curated,0.76,0.3464747672315942,0.15,0.2633208230960116,WP_009788712.1,cyanorak:CK_00000425
syn,4,BL107_11441,Synechococcus sp. BL107,cyabrB2,AbrB-like transcriptional regulator involved in photosynthesis regulation,Photosynthesis,informative_multi,2,1.0,2,25.0,2,cyanorak,curated,0.6799999999999999,0.36298559351947074,0.15,0.2468302035932401,WP_009789471.1,cyanorak:CK_00000010
syn,5,BL107_16040,Synechococcus sp. BL107,rpoB,"DNA-directed RNA polymerase, beta subunit",Transcription,informative_multi,4,2.0,1,20.0,2,cyanorak,curated,0.7000000000000001,0.3464747672315942,0.15,0.24253233706211597,WP_009790367.1,cyanorak:CK_00000181
syn,6,SYNW1812,Synechococcus WH8102,,nucleoside 2-deoxyribosyltransferase family protein,Nucleotide metabolism,informative_multi,3,1.0,1,17.0,2,cyanorak,curated,0.72,0.33455780214437625,0.15,0.24088161754395088,WP_011128672.1,cyanorak:CK_00001768
syn,7,SYNW1780,Synechococcus WH8102,argB,acetylglutamate kinase,Amino acid metabolism,informative_multi,2,1.0,1,20.0,2,cyanorak,curated,0.6799999999999999,0.3464747672315942,0.15,0.23560284171748405,WP_011128640.1,cyanorak:CK_00000645
syn,8,SynWH7803_0353,Synechococcus WH7803,psbO,photosystem II manganese-stabilizing protein PsbO,Photosynthesis,informative_multi,2,1.0,2,20.0,2,cyanorak,curated,0.6799999999999999,0.3464747672315942,0.15,0.23560284171748405,WP_011932278.1,cyanorak:CK_00000480
alt,1,EZ55_00751,Alteromonas macleodii EZ55,,IS110 family RNA-guided transposase,Replication and repair,informative_multi,1,3.0,2,65.0,4,eggnog,Proteobacteria,0.52,0.5461129072595842,0.15,0.2839787117749838,WP_061485171.1,eggnog:1MUER@1224
alt,2,DEH24_16585,Alteromonas (MarRef v6),acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,Energy production,informative_multi,2,6.0,1,48.0,7,eggnog,Bacteria,0.38,0.6897548122197643,0.15,0.2621068286435104,HBY41045.1,eggnog:COG1049@2
alt,3,DEH24_02300,Alteromonas (MarRef v6),adk,adenylate kinase,Nucleotide metabolism,informative_multi,10,1.0,1,10.0,1,eggnog,Alteromonadaceae,1.0,0.24093024401469773,0.15,0.24093024401469773,HBY38216.1,eggnog:46577@72275
alt,4,EZ55_01060,Alteromonas macleodii EZ55,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,informative_multi,2,1.0,4,29.0,1,eggnog,Alteromonadaceae,0.6799999999999999,0.31849277060660175,0.15,0.21657508401248918,WP_014975883.1,eggnog:464FC@72275
alt,5,DEH24_14130,Alteromonas (MarRef v6),cheW,chemotaxis protein CheW,Cell motility,informative_multi,6,1.0,1,10.0,1,eggnog,Alteromonadaceae,0.84,0.24093024401469773,0.15,0.20238140497234608,HBY40558.1,eggnog:466IY@72275
alt,6,EZ55_02117,Alteromonas macleodii EZ55,fecA,TonB-dependent receptor family protein,Inorganic ion transport,informative_multi,2,2.0,1,6.0,3,eggnog,Proteobacteria,0.6200000000000001,0.31709962833210437,0.15,0.19660176956590475,WP_020745975.1,eggnog:1MWDG@1224
alt,7,ACZ81_05680,Alteromonas macleodii HOT1A3,slyA,MarR family winged helix-turn-helix transcriptional regulator,Transcription,informative_multi,2,1.0,1,8.0,2,eggnog,Proteobacteria,0.6799999999999999,0.2809725000212018,0.15,0.19106130001441718,WP_014948722.1,eggnog:1RBBN@1224
alt,8,ACZ81_12890,Alteromonas macleodii HOT1A3,lldP,L-lactate permease,Energy production,informative_multi,1,3.0,1,12.0,3,eggnog,Proteobacteria,0.52,0.3649558469518518,0.15,0.18977704041496293,WP_061486133.1,eggnog:1MV13@1224
other_hetero,1,HP15_2958,Marinobacter (MarRef v6),gtsA,ABC transporter substrate-binding protein,Carbohydrate metabolism,informative_multi,6,1.0,2,55.0,9,eggnog,Bacteria,0.84,0.8111888680349613,0.15,0.6813986491493674,WP_041645557.1,eggnog:COG1653@2
other_hetero,2,HP15_529,Marinobacter (MarRef v6),clpB,ATP-dependent chaperone ClpB,Post-translational modification,informative_multi,3,1.0,3,112.0,9,eggnog,Bacteria,0.72,0.8654613502351367,0.15,0.6231321721692984,WP_014576075.1,eggnog:COG0542@2
other_hetero,3,HP15_3759,Marinobacter (MarRef v6),prlC,oligopeptidase A,Amino acid metabolism,informative_multi,4,1.0,1,56.0,9,eggnog,Bacteria,0.76,0.8125571736602653,0.15,0.6175434519818016,WP_014578889.1,eggnog:COG0339@2
other_hetero,4,SPO0362,Ruegeria pomeroyi DSS-3,,hypothetical protein,Secondary metabolites,informative_multi,1,1.0,1,24.0,4,eggnog,Proteobacteria,0.64,0.47106465916787477,0.15,0.30148138186743983,WP_044027809.1,eggnog:1MU7T@1224
other_hetero,5,M8001_21015,Pseudomonas putida KT2440,idh,NADP-dependent isocitrate dehydrogenase,Energy production,informative_multi,1,1.0,1,14.0,4,eggnog,Proteobacteria,0.64,0.43157413515009385,0.15,0.27620744649606005,WP_010954815.1,eggnog:1MV6Q@1224
other_hetero,6,SPO0347,Ruegeria pomeroyi DSS-3,sucC,ADP-forming succinate--CoA ligase subunit beta,Coenzyme metabolism,informative_multi,1,1.0,1,14.0,4,eggnog,Proteobacteria,0.64,0.43157413515009385,0.15,0.27620744649606005,WP_011046108.1,eggnog:1MVCE@1224
other_hetero,7,SPO3109,Ruegeria pomeroyi DSS-3,tolB,Tol-Pal system beta propeller repeat protein TolB,Intracellular trafficking,informative_multi,1,1.0,1,14.0,4,eggnog,Proteobacteria,0.64,0.43157413515009385,0.15,0.27620744649606005,WP_011048799.1,eggnog:1MV09@1224
other_hetero,8,Sputw3181_0575,Shewanella sp. W3-18-1,,cytochrome c-type biogenesis protein CcmH,Energy production,informative_multi,2,2.0,1,15.0,4,eggnog,Proteobacteria,0.6200000000000001,0.4365634307149202,0.15,0.2706693270432506,WP_011787958.1,eggnog:1MZZ5@1224
