locus_tag,organism,genus,gene_name,product,gene_category,freq,best_rank,annotation_state,annotation_quality,ortholog_group_size,ortholog_genera,protein_id,has_seq
PMM0348,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein family PM-17,Unknown,4,2.0,catch_all_only,1,20.0,Prochlorococcus,WP_011131985.1,True
PMM1309,Prochlorococcus MED4,Prochlorococcus,ftsZ,cell division protein FtsZ,Cell cycle and division,4,2.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132943.1,True
PMM2005,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,4,2.0,catch_all_only,1,8.0,Prochlorococcus,WP_173028055.1,True
PMN2A_0525,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS10655,conserved hypothetical protein family PM-14,Unknown,4,2.0,catch_all_only,1,19.0,Prochlorococcus,WP_011294622.1,True
PMT2240,Prochlorococcus MIT9313,Prochlorococcus,focA,"nitrite transporter, FNT family",Stress response and adaptation,4,2.0,informative_multi,3,9.0,"Prochlorococcus, Synechococcus",WP_011131604.1,True
PMT9312_0550,Prochlorococcus MIT9312,Prochlorococcus,rbcL,"ribulose bisphosphate carboxylase, large subunit",Photosynthesis,4,3.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_002805854.1,True
EZ55_03398,Alteromonas macleodii EZ55,Alteromonas,,hypothetical protein,Unknown,4,4.0,no_evidence,0,9.0,Alteromonas,WP_014977415.1,True
HP15_3055,Marinobacter (MarRef v6),Marinobacter,braC,branched-chain amino acid ABC transporter substrate-binding protein,Amino acid metabolism,4,5.0,informative_multi,3,103.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Synechococcus, Thermosynechococcus",WP_014578283.1,True
EZ55_03462,Alteromonas macleodii EZ55,Alteromonas,,sterol desaturase family protein,Lipid metabolism,4,7.0,informative_multi,3,9.0,Alteromonas,WP_014977457.1,True
DEH24_09265,Alteromonas (MarRef v6),Alteromonas,rne,hypothetical protein,Translation,3,1.0,informative_multi,3,10.0,Alteromonas,HBY39595.1,True
DEH24_13670,Alteromonas (MarRef v6),Alteromonas,,isocitrate dehydrogenase,Energy production,3,1.0,informative_multi,3,10.0,Alteromonas,HBY40467.1,True
EZ55_00798,Alteromonas macleodii EZ55,Alteromonas,,spondin domain-containing protein,Unknown,3,1.0,informative_single,2,8.0,Alteromonas,WP_101563515.1,True
EZ55_01738,Alteromonas macleodii EZ55,Alteromonas,,nuclear transport factor 2 family protein,Unknown,3,1.0,informative_single,2,6.0,Alteromonas,WP_014979105.1,True
EZ55_02348,Alteromonas macleodii EZ55,Alteromonas,metE,methionine synthase,Amino acid metabolism,3,1.0,informative_multi,3,9.0,Alteromonas,WP_014949790.1,True
HP15_2088,Marinobacter (MarRef v6),Marinobacter,purB,adenylosuccinate lyase,Nucleotide metabolism,3,1.0,informative_multi,3,43.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014577430.1,True
HP15_533,Marinobacter (MarRef v6),Marinobacter,ilvC,ketol-acid reductoisomerase,Amino acid metabolism,3,1.0,informative_multi,3,40.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008170689.1,True
PMM0236,Prochlorococcus MED4,Prochlorococcus,crtR,fatty acid desaturase,Lipid metabolism,3,1.0,informative_multi,3,17.0,Prochlorococcus,WP_152556156.1,True
PMM0311,Prochlorococcus MED4,Prochlorococcus,metK,methionine adenosyltransferase,Amino acid metabolism,3,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011131948.1,True
PMM0362,Prochlorococcus MED4,Prochlorococcus,,uncharacterized conserved membrane protein,Unknown,3,1.0,catch_all_only,1,5.0,Prochlorococcus,WP_036930928.1,True
PMM0370,Prochlorococcus MED4,Prochlorococcus,cynA,"cyanate ABC transporter, substrate-binding protein",Central intermediary metabolism,3,1.0,informative_multi,3,3.0,"Prochlorococcus, Synechococcus",WP_011132007.1,True
PMM0550,Prochlorococcus MED4,Prochlorococcus,rbcL,"ribulose bisphosphate carboxylase, large subunit",Photosynthesis,3,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_002805854.1,True
PMM0573,Prochlorococcus MED4,Prochlorococcus,cyabrB2,AbrB-like transcriptional regulator involved in photosynthesis regulation,Photosynthesis,3,1.0,informative_multi,3,25.0,"Prochlorococcus, Synechococcus",,False
PMM0805,Prochlorococcus MED4,Prochlorococcus,,"iron stress-induced protein, Prochlorococcus-specific",Stress response and adaptation,3,1.0,informative_single,2,9.0,Prochlorococcus,WP_011132439.1,True
PMM0861,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,1.0,catch_all_only,1,3.0,Prochlorococcus,WP_036930458.1,True
PMM1390,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,3,1.0,informative_multi,3,12.0,Prochlorococcus,WP_042116249.1,True
PMM1814,Prochlorococcus MED4,Prochlorococcus,,Conserved hypothetical protein,Unknown,3,1.0,catch_all_only,1,11.0,Prochlorococcus,WP_036930938.1,True
PMM1828,Prochlorococcus MED4,Prochlorococcus,,Hypothetical protein,Unknown,3,1.0,catch_all_only,1,12.0,Prochlorococcus,WP_036930926.1,True
PMM1951,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,1.0,catch_all_only,1,12.0,Prochlorococcus,WP_173028022.1,True
PMM2065,Prochlorococcus MED4,Prochlorococcus,,Hypothetical protein,Unknown,3,1.0,no_evidence,0,2.0,Prochlorococcus,WP_268741254.1,True
PMN2A_0436,Prochlorococcus NATL2A,Prochlorococcus,phoB,two-component system response regulator RR class II (RRII)-CheY-OmpR,Stress response and adaptation,3,1.0,informative_multi,3,10.0,"Prochlorococcus, Synechococcus",WP_011294535.1,True
PMN2A_0542,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS05790,conserved hypothetical protein,Unknown,3,1.0,catch_all_only,1,4.0,Prochlorococcus,WP_011294639.1,True
PMT2229,Prochlorococcus MIT9313,Prochlorococcus,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,3,1.0,informative_multi,3,19.0,"Prochlorococcus, Synechococcus",WP_011131593.1,True
PMT9312_0549,Prochlorococcus MIT9312,Prochlorococcus,csoS1A,carboxysome shell protein CsoS1A,Photosynthesis,3,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_002807869.1,True
PMT_0990,Prochlorococcus MIT9313,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,3,1.0,informative_multi,3,2.0,Prochlorococcus,WP_011130362.1,True
SYNW1812,Synechococcus WH8102,Parasynechococcus,,nucleoside 2-deoxyribosyltransferase family protein,Nucleotide metabolism,3,1.0,informative_multi,3,17.0,"Prochlorococcus, Synechococcus",WP_011128672.1,True
DEH24_11560,Alteromonas (MarRef v6),Alteromonas,cysD,sulfate adenylyltransferase subunit CysD,Coenzyme metabolism,3,2.0,informative_multi,3,10.0,Alteromonas,HBY40050.1,True
DEH24_17975,Alteromonas (MarRef v6),Alteromonas,,DUF1329 domain-containing protein,Unknown,3,2.0,informative_single,2,10.0,Alteromonas,HBY41322.1,True
EZ55_01782,Alteromonas macleodii EZ55,Alteromonas,,DUF3718 domain-containing protein,Unknown,3,2.0,informative_single,2,9.0,Alteromonas,WP_014949240.1,True
EZ55_02372,Alteromonas macleodii EZ55,Alteromonas,maoP,DUF413 domain-containing protein,Unknown,3,2.0,informative_single,2,7.0,Alteromonas,WP_049587633.1,True
HP15_382,Marinobacter (MarRef v6),Marinobacter,rplW,50S ribosomal protein L23,Translation,3,2.0,informative_multi,3,39.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008174862.1,True
PMM0690,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,3,2.0,informative_multi,3,40.0,Prochlorococcus,WP_011132324.1,True
PMM0920,Prochlorococcus MED4,Prochlorococcus,glnA,"glutamine synthetase, type I",Amino acid metabolism,3,2.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132553.1,True
PMM1176,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,2.0,catch_all_only,1,13.0,Prochlorococcus,WP_011132810.1,True
PMM1523,Prochlorococcus MED4,Prochlorococcus,psaB,photosystem I core protein PsaB,Photosynthesis,3,2.0,informative_multi,3,22.0,"Prochlorococcus, Synechococcus",WP_011133151.1,True
PMM1991,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,2.0,catch_all_only,1,26.0,"Prochlorococcus, Synechococcus",WP_173028047.1,True
PMN2A_0445,Prochlorococcus NATL2A,Prochlorococcus,gap3,glyceraldehyde-3-phosphate dehydrogenase,Stress response and adaptation,3,2.0,informative_multi,3,16.0,"Prochlorococcus, Synechococcus",WP_011294544.1,True
PMN2A_1227,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS11065,hemolysin-type calcium-binding repeat family protein,Post-translational modification,3,2.0,informative_multi,3,8.0,"Prochlorococcus, Synechococcus",WP_011295571.1,True
PMT0991,Prochlorococcus MIT9313,Prochlorococcus,,possible tRNA synthetase class I (E and Q),Unknown,3,2.0,informative_single,2,2.0,Prochlorococcus,WP_011130363.1,True
PMT2239,Prochlorococcus MIT9313,Prochlorococcus,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,3,2.0,informative_multi,3,13.0,"Prochlorococcus, Synechococcus",WP_011131603.1,True
PMT9312_0722,Prochlorococcus MIT9312,Prochlorococcus,pstS,"phosphate ABC transporter, phosphate-binding protein PstS",Stress response and adaptation,3,2.0,informative_multi,3,28.0,"Prochlorococcus, Synechococcus",WP_036924572.1,True
SYNW1950,Synechococcus WH8102,Parasynechococcus,,conserved hypothetical protein,Unknown,3,2.0,informative_single,2,1.0,Synechococcus,WP_011128808.1,True
SynWH7803_1706,Synechococcus WH7803,Synechococcus,,uncharacterized conserved lipoprotein (DUF1254/DUF1214),Unknown,3,2.0,informative_single,2,3.0,"Prochlorococcus, Synechococcus",WP_011933604.1,True
DEH24_16415,Alteromonas (MarRef v6),Alteromonas,arcA,two-component system response regulator ArcA,Transcription,3,3.0,informative_multi,3,12.0,Alteromonas,HBY41011.1,True
HP15_380,Marinobacter (MarRef v6),Marinobacter,rplC,50S ribosomal protein L3,Translation,3,3.0,informative_multi,3,39.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008174858.1,True
HP15_529,Marinobacter (MarRef v6),Marinobacter,clpB,ATP-dependent chaperone ClpB,Post-translational modification,3,3.0,informative_multi,3,112.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014576075.1,True
PMM0660,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,3.0,informative_single,2,16.0,Prochlorococcus,WP_036930844.1,True
EZ55_02269,Alteromonas macleodii EZ55,Alteromonas,azoR,FMN-dependent NADH-azoreductase,Lipid metabolism,3,4.0,informative_multi,3,10.0,Alteromonas,WP_039225536.1,True
EZ55_02919,Alteromonas macleodii EZ55,Alteromonas,pfpI,type 1 glutamine amidotransferase domain-containing protein,Unknown,3,4.0,informative_multi,3,9.0,Alteromonas,WP_156086738.1,True
HP15_453,Marinobacter (MarRef v6),Marinobacter,thiC,phosphomethylpyrimidine synthase ThiC,Coenzyme metabolism,3,4.0,informative_multi,3,38.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Shewanella, Synechococcus, Thermosynechococcus",WP_041644939.1,True
PMM0374,Prochlorococcus MED4,Prochlorococcus,tatA,"twin arginine-targeting translocase, TatA/E family protein",Post-translational modification,3,4.0,informative_multi,3,24.0,"Prochlorococcus, Synechococcus",WP_011132011.1,True
PMM1813,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,4.0,catch_all_only,1,9.0,Prochlorococcus,WP_036930939.1,True
PMM1856,Prochlorococcus MED4,Prochlorococcus,,Hypothetical protein,Unknown,3,4.0,no_evidence,0,6.0,Prochlorococcus,,False
PMT9312_1510,Prochlorococcus MIT9312,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,3,4.0,informative_multi,3,31.0,Prochlorococcus,WP_011377053.1,True
BL107_08264,Synechococcus sp. BL107,Synechococcus,fusA,elongation factor G,Translation,3,5.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_009788868.1,True
DEH24_15880,Alteromonas (MarRef v6),Alteromonas,icd,NADP-dependent isocitrate dehydrogenase,Energy production,3,5.0,informative_multi,3,11.0,Alteromonas,HBY40904.1,True
EZ55_01991,Alteromonas macleodii EZ55,Alteromonas,yqjG,glutathione S-transferase family protein,Post-translational modification,3,5.0,informative_multi,3,10.0,Alteromonas,WP_014979276.1,True
PMM0469,Prochlorococcus MED4,Prochlorococcus,psaF,photosystem I reaction centre PsaF protein,Photosynthesis,3,5.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132105.1,True
PMM1171,Prochlorococcus MED4,Prochlorococcus,isiB,flavodoxin,Stress response and adaptation,3,5.0,informative_multi,3,18.0,"Prochlorococcus, Synechococcus",WP_011132805.1,True
PMN2A_0620,Prochlorococcus NATL2A,Prochlorococcus,PMN2A_RS06235,possible Legume lectins alpha domain,Unknown,3,5.0,no_evidence,0,15.0,Prochlorococcus,WP_011294709.1,True
PMT2117,Prochlorococcus MIT9313,Prochlorococcus,,possible D12 class N6 adenine-specific DNA met,Unknown,3,5.0,no_evidence,0,4.0,Prochlorococcus,WP_011131481.1,True
PMT2241,Prochlorococcus MIT9313,Prochlorococcus,,Armadillo-like helical-containing protein,Unknown,3,5.0,informative_single,2,13.0,"Prochlorococcus, Synechococcus",WP_011131605.1,True
EZ55_03879,Alteromonas macleodii EZ55,Alteromonas,yceJ,cytochrome b,Energy production,3,6.0,informative_multi,3,8.0,Alteromonas,WP_156087179.1,True
PMT9312_0687,Prochlorococcus MIT9312,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,3,6.0,informative_multi,3,40.0,Prochlorococcus,WP_011376242.1,True
EZ55_02865,Alteromonas macleodii EZ55,Alteromonas,,glycoside hydrolase family 97 protein,Carbohydrate metabolism,3,7.0,informative_multi,3,7.0,Alteromonas,WP_156086703.1,True
PMM0463,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,3,7.0,informative_single,2,18.0,"Prochlorococcus, Synechococcus",WP_011132099.1,True
PMT9312_0552,Prochlorococcus MIT9312,Prochlorococcus,csoS2,carboxysome shell protein CsoS2,Photosynthesis,3,7.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011376109.1,True
PMM1819,Prochlorococcus MED4,Prochlorococcus,,Conserved hypothetical protein,Unknown,3,8.0,no_evidence,0,5.0,Prochlorococcus,,False
ACZ81_05680,Alteromonas macleodii HOT1A3,Alteromonas,slyA,MarR family winged helix-turn-helix transcriptional regulator,Transcription,2,1.0,informative_multi,3,8.0,"Alteromonas, Pseudomonas",WP_014948722.1,True
ACZ81_14325,Alteromonas macleodii HOT1A3,Alteromonas,,retropepsin-like aspartic protease,Unknown,2,1.0,informative_multi,3,9.0,Alteromonas,WP_014950335.1,True
ACZ81_16910,Alteromonas macleodii HOT1A3,Alteromonas,ankB,ankyrin repeat domain-containing protein,Unknown,2,1.0,informative_multi,3,7.0,Alteromonas,WP_014950839.1,True
ACZ81_17120,Alteromonas macleodii HOT1A3,Alteromonas,,hypothetical protein,Unknown,2,1.0,no_evidence,0,3.0,Alteromonas,WP_061486623.1,True
ACZ81_18535,Alteromonas macleodii HOT1A3,Alteromonas,,TonB-dependent receptor,Inorganic ion transport,2,1.0,informative_multi,3,6.0,Alteromonas,WP_014951136.1,True
BL107_08586,Synechococcus sp. BL107,Synechococcus,rplN,50S ribosomal protein L14,Translation,2,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_006169852.1,True
BL107_09756,Synechococcus sp. BL107,Synechococcus,topA,"DNA topoisomerase I, omega subunit",Replication and repair,2,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_009789155.1,True
BL107_11441,Synechococcus sp. BL107,Synechococcus,cyabrB2,AbrB-like transcriptional regulator involved in photosynthesis regulation,Photosynthesis,2,1.0,informative_multi,3,25.0,"Prochlorococcus, Synechococcus",WP_009789471.1,True
DEH24_15900,Alteromonas (MarRef v6),Alteromonas,purB,adenylosuccinate lyase,Nucleotide metabolism,2,1.0,informative_multi,3,10.0,Alteromonas,HBY40908.1,True
EZ55_01776,Alteromonas macleodii EZ55,Alteromonas,,DUF3718 domain-containing protein,Unknown,2,1.0,informative_single,2,18.0,Alteromonas,WP_014949234.1,True
EZ55_02855,Alteromonas macleodii EZ55,Alteromonas,suxA,TonB-dependent receptor,Cell wall and membrane,2,1.0,informative_multi,3,9.0,Alteromonas,WP_156086697.1,True
EZ55_02884,Alteromonas macleodii EZ55,Alteromonas,,hypothetical protein,Unknown,2,1.0,no_evidence,0,9.0,Alteromonas,WP_014950289.1,True
EZ55_03067,Alteromonas macleodii EZ55,Alteromonas,,AAA family ATPase,Cell cycle and division,2,1.0,informative_multi,3,11.0,Alteromonas,WP_156086818.1,True
EZ55_03747,Alteromonas macleodii EZ55,Alteromonas,,MFS transporter,Carbohydrate metabolism,2,1.0,informative_multi,3,10.0,Alteromonas,WP_156087072.1,True
EZ55_04249,Alteromonas macleodii EZ55,Alteromonas,benB,aromatic-ring-hydroxylating dioxygenase subunit beta,Secondary metabolites,2,1.0,informative_multi,3,1.0,Alteromonas,WP_156087405.1,True
HP15_1056,Marinobacter (MarRef v6),Marinobacter,,AraC family transcriptional regulator,Transcription,2,1.0,informative_multi,3,150.0,"Alteromonas, Marinobacter, Pseudomonas, Ruegeria, Shewanella, Synechococcus",WP_008170520.1,True
HP15_1691,Marinobacter (MarRef v6),Marinobacter,,ATP-dependent Clp protease ATP-binding subunit,Post-translational modification,2,1.0,informative_multi,3,112.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014577074.1,True
HP15_2027,Marinobacter (MarRef v6),Marinobacter,dapA,4-hydroxy-tetrahydrodipicolinate synthase,Amino acid metabolism,2,1.0,informative_multi,3,56.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014577380.1,True
HP15_3052,Marinobacter (MarRef v6),Marinobacter,lon,endopeptidase La,Post-translational modification,2,1.0,informative_multi,3,28.0,"Alteromonas, Marinobacter, Meiothermus, Pseudomonas, Ruegeria, Shewanella",WP_041645590.1,True
