pool,dedup_key,rep_locus_tag,rep_organism,rep_gene_name,rep_product,rep_annotation_state,rep_protein_id,freq,best_rank,og_source,og_level,n_collapsed,collapsed_members
alt,eggnog:466G0@72275,EZ55_03008,Alteromonas macleodii EZ55,,SIMPL domain-containing protein,informative_single,WP_014977212.1,2,4.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464ET@72275,EZ55_04065,Alteromonas macleodii EZ55,ilvC,ketol-acid reductoisomerase,informative_multi,WP_014951396.1,2,4.0,eggnog,Alteromonadaceae,1,
alt,locus:MIT1002_03386,MIT1002_03386,Alteromonas macleodii MIT1002,,hypothetical protein,no_evidence,WP_049588678.1,2,4.0,,,1,
alt,eggnog:464SZ@72275,EZ55_02006,Alteromonas macleodii EZ55,,TonB-dependent receptor,informative_multi,WP_156086417.1,2,4.0,eggnog,Alteromonadaceae,2,MIT1002_01952
alt,eggnog:46CCP@72275,EZ55_02371,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_168463489.1,2,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465WR@72275,EZ55_02984,Alteromonas macleodii EZ55,,TonB-dependent receptor,informative_multi,WP_069944734.1,2,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467XC@72275,EZ55_03447,Alteromonas macleodii EZ55,yiaA,inner membrane protein YiaA,informative_multi,WP_156086950.1,2,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:469D8@72275,EZ55_04251,Alteromonas macleodii EZ55,benD,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase",informative_multi,WP_156087406.1,2,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:COG1049@2,DEH24_16585,Alteromonas (MarRef v6),acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,informative_multi,HBY41045.1,2,6.0,eggnog,Bacteria,1,
alt,eggnog:468XH@72275,EZ55_03399,Alteromonas macleodii EZ55,,PspC domain-containing protein,informative_multi,WP_014950723.1,2,6.0,eggnog,Alteromonadaceae,2,MIT1002_03384
alt,locus:MIT1002_00411,MIT1002_00411,Alteromonas macleodii MIT1002,,hypothetical protein,informative_single,WP_049588555.1,2,6.0,,,1,
alt,eggnog:4677C@72275,EZ55_00416,Alteromonas macleodii EZ55,,TorF family putative porin,informative_multi,WP_156085832.1,2,7.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46CBB@72275,EZ55_02586,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_039236345.1,2,7.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465UC@72275,EZ55_03098,Alteromonas macleodii EZ55,ygaZ,AzlC family ABC transporter permease,informative_multi,WP_061095739.1,2,7.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46948@72275,EZ55_01444,Alteromonas macleodii EZ55,,pyridoxamine 5^-phosphate oxidase family protein,informative_single,WP_156086164.1,2,7.0,eggnog,Alteromonadaceae,2,MIT1002_01423
alt,eggnog:46BTD@72275,MIT1002_00931,Alteromonas macleodii MIT1002,,LytR/AlgR family response regulator transcription factor,informative_multi,WP_049585940.1,2,8.0,eggnog,Alteromonadaceae,1,
alt,eggnog:463XU@72275,EZ55_04098,Alteromonas macleodii EZ55,,TonB-dependent receptor,informative_multi,WP_014977831.1,2,9.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464WD@72275,ACZ81_05350,Alteromonas macleodii HOT1A3,cynT,carbonic anhydrase,informative_multi,WP_014948664.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465FH@72275,ACZ81_07025,Alteromonas macleodii HOT1A3,,TonB-dependent receptor,informative_multi,WP_081106072.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4660C@72275,ACZ81_07715,Alteromonas macleodii HOT1A3,romA,MBL fold metallo-hydrolase,informative_multi,WP_081106076.1,1,1.0,eggnog,Alteromonadaceae,2,EZ55_01581
alt,eggnog:46597@72275,ACZ81_07970,Alteromonas macleodii HOT1A3,wcaJ,undecaprenyl-phosphate glucose phosphotransferase,informative_multi,WP_061485569.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1RAI1@1224,ACZ81_17190,Alteromonas macleodii HOT1A3,,glycosyltransferase family 32 protein,informative_multi,WP_061486634.1,1,1.0,eggnog,Proteobacteria,1,
alt,eggnog:468H6@72275,ACZ81_19860,Alteromonas macleodii HOT1A3,atpE,F0F1 ATP synthase subunit C,informative_multi,WP_012520222.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:469NV@72275,ACZ81_20300,Alteromonas macleodii HOT1A3,,hypothetical protein,no_evidence,WP_158511561.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4648R@72275,DEH24_01275,Alteromonas (MarRef v6),dnaN,DNA polymerase III subunit beta,informative_multi,HBY38014.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465UN@72275,DEH24_08800,Alteromonas (MarRef v6),pyrB,aspartate carbamoyltransferase,informative_multi,HBY39503.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464AW@72275,DEH24_10240,Alteromonas (MarRef v6),sucB,dihydrolipoamide succinyltransferase,informative_multi,HBY39788.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4646I@72275,DEH24_11265,Alteromonas (MarRef v6),sdhA,succinate dehydrogenase flavoprotein subunit,informative_multi,HBY39991.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464S6@72275,DEH24_15195,Alteromonas (MarRef v6),secA,preprotein translocase subunit SecA,informative_multi,HBY40769.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464XN@72275,DEH24_19170,Alteromonas (MarRef v6),glgP,glycogen/starch/alpha-glucan phosphorylase,informative_multi,HBY41560.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466IV@72275,DEH24_21385,Alteromonas (MarRef v6),ilvH,acetolactate synthase small subunit,informative_multi,HBY41995.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467MF@72275,EZ55_00776,Alteromonas macleodii EZ55,,tetratricopeptide repeat protein,informative_multi,WP_156085958.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467ZM@72275,EZ55_02930,Alteromonas macleodii EZ55,srtA,class GN sortase,informative_multi,WP_014950323.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1N5N4@1224,EZ55_03037,Alteromonas macleodii EZ55,,methyl-accepting chemotaxis protein,informative_multi,WP_039227964.1,1,1.0,eggnog,Proteobacteria,1,
alt,locus:MIT1002_02411,MIT1002_02411,Alteromonas macleodii MIT1002,,hypothetical protein,no_evidence,WP_014949857.1,1,1.0,,,1,
alt,eggnog:468QM@72275,MIT1002_03278,Alteromonas macleodii MIT1002,pedF,cytochrome c-550 PedF,informative_multi,WP_014950662.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4663U@72275,MIT1002_03279,Alteromonas macleodii MIT1002,pedH,PQQ-dependent methanol/ethanol family dehydrogenase,informative_multi,WP_197047979.1,1,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467R5@72275,ACZ81_00265,Alteromonas macleodii HOT1A3,rpmB,50S ribosomal protein L28,informative_multi,WP_014947757.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,locus:ACZ81_02530,ACZ81_02530,Alteromonas macleodii HOT1A3,,hypothetical protein,no_evidence,WP_061439334.1,1,2.0,,,1,
alt,eggnog:4691K@72275,ACZ81_03035,Alteromonas macleodii HOT1A3,,hypothetical protein,no_evidence,WP_044556911.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:468JU@72275,ACZ81_04245,Alteromonas macleodii HOT1A3,yhiI,HlyD family secretion protein,informative_multi,WP_053103809.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467KN@72275,ACZ81_06975,Alteromonas macleodii HOT1A3,bamE,outer membrane protein assembly factor BamE,informative_multi,WP_012517879.1,1,2.0,eggnog,Alteromonadaceae,2,MIT1002_01442
alt,eggnog:466JE@72275,ACZ81_15570,Alteromonas macleodii HOT1A3,plsC,1-acylglycerol-3-phosphate O-acyltransferase,informative_multi,WP_061486484.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1N1M5@1224,ACZ81_15955,Alteromonas macleodii HOT1A3,,porin family protein,informative_multi,WP_061486522.1,1,2.0,eggnog,Proteobacteria,2,MIT1002_03314
alt,eggnog:46773@72275,ACZ81_16310,Alteromonas macleodii HOT1A3,pspA,phage shock protein PspA,informative_multi,WP_014950724.1,1,2.0,eggnog,Alteromonadaceae,2,MIT1002_03385
alt,eggnog:46B00@72275,ACZ81_16595,Alteromonas macleodii HOT1A3,rutC,pyrimidine utilization protein C,informative_multi,WP_061486583.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46BHT@72275,ACZ81_18755,Alteromonas macleodii HOT1A3,,hypothetical protein,no_evidence,WP_014951188.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1MV6S@1224,ACZ81_19450,Alteromonas macleodii HOT1A3,,C1 family peptidase,informative_multi,WP_061486834.1,1,2.0,eggnog,Proteobacteria,1,
alt,eggnog:467QQ@72275,DEH24_08275,Alteromonas (MarRef v6),yhbH,ribosome hibernation promoting factor,informative_multi,HBY39398.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464UQ@72275,DEH24_11000,Alteromonas (MarRef v6),gltD,glutamate synthase small subunit,informative_multi,HBY39938.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464U7@72275,DEH24_13920,Alteromonas (MarRef v6),yicC,YicC family protein,informative_multi,HBY40516.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4663J@72275,EZ55_01931,Alteromonas macleodii EZ55,proB,glutamate 5-kinase,informative_multi,WP_156086388.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466FM@72275,EZ55_03366,Alteromonas macleodii EZ55,,endonuclease/exonuclease/phosphatase family protein,informative_multi,WP_014949486.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1QVEW@1224,MIT1002_02110,Alteromonas macleodii MIT1002,tnpT,DNA-binding protein,informative_multi,WP_049588580.1,1,2.0,eggnog,Proteobacteria,1,
alt,locus:MIT1002_02782,MIT1002_02782,Alteromonas macleodii MIT1002,,hypothetical protein,no_evidence,WP_014950161.1,1,2.0,,,1,
alt,eggnog:465NN@72275,MIT1002_03321,Alteromonas macleodii MIT1002,exaC,acetaldehyde dehydrogenase ExaC,informative_multi,WP_014950684.1,1,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1NAE7@1224,MIT1002_04153,Alteromonas macleodii MIT1002,,hypothetical protein,no_evidence,WP_049587402.1,1,2.0,eggnog,Proteobacteria,1,
alt,eggnog:468FG@72275,ACZ81_00050,Alteromonas macleodii HOT1A3,yihI,Der GTPase-activating protein YihI,informative_multi,WP_014947719.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4673Y@72275,ACZ81_02460,Alteromonas macleodii HOT1A3,,TonB-dependent receptor,informative_multi,WP_014975544.1,1,3.0,eggnog,Alteromonadaceae,2,MIT1002_00549
alt,eggnog:468BQ@72275,ACZ81_03615,Alteromonas macleodii HOT1A3,,thermostable hemolysin,informative_single,WP_061486929.1,1,3.0,eggnog,Alteromonadaceae,2,EZ55_00780
alt,eggnog:46637@72275,ACZ81_10105,Alteromonas macleodii HOT1A3,sdaA,L-serine ammonia-lyase,informative_multi,WP_061485894.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46AXG@72275,ACZ81_10335,Alteromonas macleodii HOT1A3,,c-type cytochrome,informative_multi,WP_014949583.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1MV13@1224,ACZ81_12890,Alteromonas macleodii HOT1A3,lldP,L-lactate permease,informative_multi,WP_061486133.1,1,3.0,eggnog,Proteobacteria,1,
alt,eggnog:46A8S@72275,ACZ81_16585,Alteromonas macleodii HOT1A3,rutE,malonic semialdehyde reductase,informative_multi,WP_014977452.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46826@72275,ACZ81_18505,Alteromonas macleodii HOT1A3,syrP,TauD/TfdA family dioxygenase,informative_multi,WP_014951130.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465FP@72275,ACZ81_19000,Alteromonas macleodii HOT1A3,cyoB,cytochrome o ubiquinol oxidase subunit I,informative_multi,WP_014980664.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,locus:ALTBGP6_RS01855,ALTBGP6_RS01855,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_014975451.1,1,3.0,,,1,
alt,eggnog:46D5P@72275,EZ55_00161,Alteromonas macleodii EZ55,yacH,DUF3300 domain-containing protein,informative_single,WP_156085737.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4646N@72275,EZ55_00310,Alteromonas macleodii EZ55,aer2,methyl-accepting chemotaxis protein,informative_multi,WP_418655454.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1MUER@1224,EZ55_00751,Alteromonas macleodii EZ55,,IS110 family RNA-guided transposase,informative_multi,WP_061485171.1,1,3.0,eggnog,Proteobacteria,2,EZ55_01509
alt,eggnog:465ST@72275,EZ55_01827,Alteromonas macleodii EZ55,merA,FAD-dependent oxidoreductase,informative_multi,WP_156086348.1,1,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464K9@72275,EZ55_02008,Alteromonas macleodii EZ55,,TonB-dependent receptor,informative_multi,WP_156086418.1,1,3.0,eggnog,Alteromonadaceae,2,ACZ81_09825
alt,eggnog:1PV4R@1224,EZ55_03030,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_156086803.1,1,3.0,eggnog,Proteobacteria,1,
alt,eggnog:464MY@72275,EZ55_03340,Alteromonas macleodii EZ55,mmsB,3-hydroxyisobutyrate dehydrogenase,informative_multi,WP_061486531.1,1,3.0,eggnog,Alteromonadaceae,1,
